cylinders,displacement_litre,power_kw,weight_ton,acceleration,model year,car name,kmperlitre
8,5,96,1.589,12,70,chevrolet chevelle malibu,7.65
8,5.7,121,1.675,11.5,70,buick skylark 320,6.38
8,5.2,110,1.559,11,70,plymouth satellite,7.65
8,5,110,1.557,12,70,amc rebel sst,6.8
8,4.9,103,1.564,10.5,70,ford torino,7.23
8,7,146,1.969,10,70,ford galaxie 500,6.38
8,7.4,162,1.975,9,70,chevrolet impala,5.95
8,7.2,158,1.956,8.5,70,plymouth fury iii,5.95
8,7.5,165,2.007,10,70,pontiac catalina,5.95
8,6.4,140,1.746,8.5,70,amc ambassador dpl,6.38
8,6.3,125,1.616,10,70,dodge challenger se,6.38
8,5.6,118,1.637,8,70,plymouth 'cuda 340,5.95
8,6.6,110,1.706,9.5,70,chevrolet monte carlo,6.38
8,7.5,165,1.4,10,70,buick estate wagon (sw),5.95
4,1.9,70,1.076,15,70,toyota corona mark ii,10.2
6,3.2,70,1.285,15.5,70,plymouth duster,9.35
6,3.3,71,1.258,15.5,70,amc hornet,7.65
6,3.3,63,1.173,16,70,ford maverick,8.93
4,1.6,65,0.966,14.5,70,datsun pl510,11.48
4,1.6,34,0.832,20.5,70,volkswagen 1131 deluxe sedan,11.05
4,1.8,64,1.212,17.5,70,peugeot 504,10.63
4,1.8,66,1.102,14.5,70,audi 100 ls,10.2
4,1.7,70,1.077,17.5,70,saab 99e,10.63
4,2,83,1.013,12.5,70,bmw 2002,11.05
6,3.3,66,1.201,15,70,amc gremlin,8.93
8,5.9,158,2.093,14,70,ford f250,4.25
8,5,147,1.985,15,70,chevy c20,4.25
8,5.2,154,1.988,13.5,70,dodge d200,4.68
8,5,142,2.146,18.5,70,hi 1200d,3.83
4,1.6,65,0.966,14.5,71,datsun pl510,11.48
4,2.3,66,1.027,15.5,71,chevrolet vega 2300,11.9
4,1.9,70,1.011,14,71,toyota corona,10.63
6,3.8,74,1.195,13,71,amc gremlin,8.08
6,3.7,77,1.56,15.5,71,plymouth satellite custom,6.8
6,4.1,74,1.51,15.5,71,chevrolet chevelle malibu,7.23
6,4.1,65,1.498,15.5,71,ford torino 500,8.08
6,3.8,74,1.491,15.5,71,amc matador,7.65
8,5.7,121,1.909,12,71,chevrolet impala,5.95
8,6.6,129,2.025,11.5,71,pontiac catalina brougham,5.95
8,5.8,113,1.884,13.5,71,ford galaxie 500,5.95
8,5.2,110,1.858,13,71,plymouth fury iii,5.95
8,6.3,132,2.248,11.5,71,dodge monaco (sw),5.1
8,6.6,125,2.153,12,71,ford country squire (sw),5.53
8,6.6,129,2.331,12,71,pontiac safari (sw),5.53
6,4.2,81,1.344,13.5,71,amc hornet sportabout (sw),7.65
4,2.3,53,1.092,19,71,chevrolet vega (sw),9.35
6,4.1,74,1.489,15,71,pontiac firebird,8.08
6,4.1,65,1.424,14.5,71,ford mustang,7.65
4,2,63,1.007,14,71,mercury capri 2000,9.78
4,1.9,66,0.963,14,71,opel 1900,11.9
4,1.3,51,0.941,19.5,71,peugeot 304,12.75
4,1.4,56,0.937,14.5,71,fiat 124b,12.75
4,1.2,48,0.804,19,71,toyota corolla 1200,13.18
4,1.2,51,0.732,18,71,datsun 1200,14.88
4,1.6,44,0.832,19,71,volkswagen model 111,11.48
4,1.5,51,0.887,20.5,71,plymouth cricket,11.05
4,1.9,70,1.033,15.5,72,toyota corona hardtop,10.2
4,1.6,59,0.964,17,72,dodge colt hardtop,10.63
4,1.6,40,1.022,23.5,72,volkswagen type 3,9.78
4,2.3,66,1.092,19.5,72,chevrolet vega,8.5
4,2,63,1.01,16.5,72,ford pinto runabout,8.93
8,5.7,121,1.939,12,72,chevrolet impala,5.53
8,6.6,129,1.989,12,72,pontiac catalina,5.95
8,5.2,110,1.876,13.5,72,plymouth fury iii,6.38
8,5.8,113,1.873,13,72,ford galaxie 500,5.95
8,5,110,1.666,11.5,72,amc ambassador sst,7.23
8,7,153,2.101,11,72,mercury marquis,4.68
8,5.7,114,2.042,13.5,72,buick lesabre custom,5.53
8,5.7,118,2.021,13.5,72,oldsmobile delta 88 royale,5.1
8,6.6,140,2.006,12.5,72,chrysler newport royal,5.53
3,1.1,71,1.057,13.5,72,mazda rx2 coupe,8.08
8,5,110,1.765,12.5,72,amc matador (sw),6.38
8,5,96,1.859,14,72,chevrolet chevelle concours (sw),5.53
8,4.9,103,1.948,16,72,ford gran torino (sw),5.53
8,5.2,110,1.849,14,72,plymouth satellite custom (sw),5.95
4,2,82,1.33,14.5,72,volvo 145e (sw),7.65
4,2,56,1.139,18,72,volkswagen 411 (sw),9.35
4,2,64,1.351,19.5,72,peugeot 504 (sw),8.93
4,1.6,51,0.993,18,72,renault 12 (sw),11.05
4,2,63,1.086,16,72,ford pinto (sw),9.35
4,1.6,68,1.038,17,72,datsun 510 (sw),11.9
4,2,71,1.137,14.5,72,toyouta corona mark ii (sw),9.78
4,1.6,59,0.982,15,72,dodge colt (sw),11.9
4,1.6,65,0.953,16.5,72,toyota corolla 1600 (sw),11.48
8,5.7,129,1.86,13,73,buick century 350,5.53
8,5,110,1.666,11.5,73,amc matador,5.95
8,5.7,107,1.809,13,73,chevrolet malibu,5.53
8,4.9,101,1.833,14.5,73,ford gran torino,5.95
8,5.2,110,1.713,12.5,73,dodge coronet custom,6.38
8,7,146,2.246,11.5,73,mercury marquis brougham,5.1
8,6.6,110,2.025,12,73,chevrolet caprice classic,5.53
8,5.8,116,1.979,13,73,ford ltd,5.53
8,5.2,110,1.922,14.5,73,plymouth fury gran sedan,5.95
8,7.2,158,2.148,11,73,chrysler new yorker brougham,5.53
8,7.5,165,2.246,11,73,buick electra 225 custom,5.1
8,5.9,129,1.733,11,73,amc ambassador brougham,5.53
6,3.7,77,1.416,16.5,73,plymouth valiant,7.65
6,4.1,74,1.487,18,73,chevrolet nova custom,6.8
6,3.8,74,1.336,16,73,amc hornet,7.65
6,4.1,65,1.37,16.5,73,ford maverick,7.65
6,3.2,70,1.317,16,73,plymouth duster,9.78
4,1.6,34,0.885,21,73,volkswagen super beetle,11.05
8,6.6,110,2.267,14,73,chevrolet impala,4.68
8,6.6,123,2.225,12.5,73,ford country,5.1
8,5.9,125,2.111,13,73,plymouth custom suburb,5.53
8,5.7,132,2.041,12.5,73,oldsmobile vista cruiser,5.1
6,3.8,74,1.265,15,73,amc gremlin,7.65
4,1.6,65,1.034,19,73,toyota carina,8.5
4,2.3,53,1.089,19.5,73,chevrolet vega,8.93
4,1.8,69,1.079,16.5,73,datsun 610,9.35
3,1.1,66,0.963,13.5,73,maxda rx3,7.65
4,2,63,1.048,18.5,73,ford pinto,8.08
6,2.5,79,1.121,14,73,mercury capri v6,8.93
4,1.6,66,1.027,15.5,73,fiat 124 sport coupe,11.05
8,5.7,107,1.852,13,73,chevrolet monte carlo s,6.38
8,6.6,169,1.94,9.5,73,pontiac grand prix,6.8
4,1.1,36,0.847,19.5,73,fiat 128,12.33
4,1.9,55,0.979,15.5,73,opel manta,10.2
4,1.9,67,1.171,14,73,audi 100ls,8.5
4,2,82,1.301,15.5,73,volvo 144ea,8.08
8,5.2,110,1.542,11,73,dodge dart custom,6.38
4,2,81,1.207,14,73,saab 99le,10.2
6,2.6,90,1.273,13.5,73,toyota mark ii,8.5
8,5.7,132,1.662,11,73,oldsmobile omega,4.68
6,3.2,70,1.407,16.5,74,plymouth duster,8.5
6,3.8,74,1.316,16,74,amc hornet,8.08
6,4.1,74,1.513,17,74,chevrolet nova,6.38
4,1.3,49,0.885,19,74,datsun b210,13.18
4,2,59,1.112,16.5,74,ford pinto,11.05
4,1.2,48,0.833,21,74,toyota corolla 1200,13.6
4,2.3,55,1.153,17,74,chevrolet vega,10.63
6,4.1,74,1.715,17,74,chevrolet chevelle malibu classic,6.8
6,4.2,81,1.647,18,74,amc matador,6.8
6,3.7,77,1.639,16.5,74,plymouth satellite sebring,7.65
8,4.9,103,1.878,14,74,ford gran torino,6.8
8,5.7,110,2.131,14.5,74,buick century luxus (sw),5.53
8,5.2,110,2.022,13.5,74,dodge coronet custom (sw),5.95
8,4.9,103,2.104,16,74,ford gran torino (sw),5.95
8,5,110,1.931,15.5,74,amc matador (sw),5.95
4,1.6,61,1.007,16.5,74,audi fox,12.33
4,1.3,49,0.89,15.5,74,volkswagen dasher,11.05
4,1.6,57,1.043,14.5,74,opel manta,11.05
4,1.2,38,0.748,16.5,74,toyota corona,13.18
4,1.4,45,0.909,19,74,datsun 710,13.6
4,1.5,55,0.964,14.5,74,dodge colt,11.9
4,1.5,55,0.956,15.5,74,fiat 128,10.2
4,1.9,55,1.019,14,74,fiat 124 tc,11.05
4,2,71,1.129,15,74,honda civic,10.2
4,1.8,68,1.085,15.5,74,subaru,11.05
4,1.3,49,0.907,16,74,fiat x1.9,13.18
6,3.7,70,1.481,16,75,plymouth valiant custom,8.08
6,4.1,77,1.569,16,75,chevrolet nova,7.65
6,4.1,53,1.557,21,75,mercury monarch,6.38
6,4.1,53,1.432,19.5,75,ford maverick,6.38
8,6.6,125,2.117,11.5,75,pontiac catalina,6.8
8,5.7,107,2.014,14,75,chevrolet bel air,6.38
8,5.2,110,2.04,14.5,75,plymouth grand fury,6.8
8,5.8,109,2.112,13.5,75,ford ltd,5.95
6,3.8,81,1.772,21,75,buick century,7.23
6,4.1,77,1.768,18.5,75,chevroelt chevelle malibu,6.8
6,4.2,81,1.692,19,75,amc matador,6.38
6,3.7,70,1.717,19,75,plymouth fury,7.65
6,3.8,81,1.378,15,75,buick skyhawk,8.93
8,4.3,81,1.461,13.5,75,chevrolet monza 2+2,8.5
8,4.9,95,1.437,12,75,ford mustang ii,5.53
4,1.6,55,0.985,16,75,toyota corolla,12.33
4,2.3,61,1.197,17,75,ford pinto,9.78
6,3.8,74,1.322,16,75,amc gremlin,8.5
4,2.3,57,1.176,18.5,75,pontiac astro,9.78
4,2.2,71,1.226,13.5,75,toyota corona,10.2
4,1.5,52,1.008,16.5,75,volkswagen dasher,10.63
4,2,71,1.154,17,75,datsun 710,10.2
6,2.8,71,1.354,14.5,75,ford pinto,7.65
4,1.5,51,0.879,14,75,volkswagen rabbit,12.33
6,3.8,66,1.456,17,75,amc pacer,8.08
4,1.9,70,1.222,15,75,audi 100ls,9.78
4,2,65,1.341,17,75,peugeot 504,9.78
4,2,72,1.336,14.5,75,volvo 244dl,9.35
4,2,85,1.212,13.5,75,saab 99le,10.63
4,1.5,39,0.814,17.5,75,honda civic cvcc,14.03
4,1.8,63,1.118,15.5,76,fiat 131,11.9
4,1.9,60,1.007,16.9,76,opel 1900,10.63
4,2.3,68,1.167,14.9,76,capri ii,10.63
4,1.6,58,1.023,17.7,76,dodge colt,11.05
4,1.7,61,0.999,15.3,76,renault 12tl,11.48
8,5,103,1.912,13,76,chevrolet chevelle malibu classic,7.44
8,5.2,110,1.901,13,76,dodge coronet brougham,6.8
8,5,88,1.797,13.9,76,amc matador,6.59
8,5.8,112,1.912,12.8,76,ford gran torino,6.16
6,3.7,74,1.466,15.4,76,plymouth valiant,9.35
6,4.1,77,1.521,14.5,76,chevrolet nova,9.35
6,3.3,60,1.366,17.6,76,ford maverick,10.2
6,3.8,66,1.399,17.6,76,amc hornet,9.57
4,1.4,38,0.923,22.2,76,chevrolet chevette,12.33
4,1.6,44,0.982,22.1,76,chevrolet woody,10.42
4,1.5,51,0.879,14.2,76,vw rabbit,12.33
4,1.5,39,0.814,17.4,76,honda civic,14.03
6,3.7,74,1.656,17.7,76,dodge aspen se,8.5
6,4.1,57,1.621,21,76,ford granada ghia,7.65
6,4.1,81,1.653,16.2,76,pontiac ventura sj,7.87
6,4.2,70,1.448,17.8,76,amc pacer d/l,7.44
4,1.6,52,0.828,12.2,76,volkswagen rabbit,12.54
4,1.4,51,0.903,17,76,datsun b-210,13.6
4,1.6,55,0.977,16.4,76,toyota corolla,11.9
4,2.3,53,1.163,13.6,76,ford pinto,11.27
4,2.1,75,1.429,15.7,76,volvo 245,8.5
8,5.2,110,1.787,13.2,76,plymouth volare premier v8,5.53
4,2,65,1.483,21.9,76,peugeot 504,8.08
6,2.6,79,1.329,15.5,76,toyota mark ii,8.08
6,2.8,88,1.733,16.7,76,mercedes-benz 280s,7.01
8,5.7,132,1.987,12.1,76,cadillac seville,7.01
8,5.7,107,1.839,12,76,chevy c10,5.53
8,4.9,96,1.755,15,76,ford f108,5.53
8,5.2,110,1.703,14,76,dodge d100,5.53
4,1.6,50,0.928,18.5,77,honda accord cvcc,13.39
4,1.8,59,0.977,14.8,77,buick opel isuzu deluxe,12.75
4,1.3,43,0.828,18.6,77,renault 5 gtl,15.31
4,2,71,1.043,15.5,77,plymouth arrow gs,10.84
4,1.4,51,0.882,16.8,77,datsun f-10 hatchback,14.24
8,5,107,1.76,12.5,77,chevrolet caprice classic,7.44
8,4.3,81,1.842,19,77,oldsmobile cutlass supreme,7.23
8,5.2,107,1.878,13.7,77,dodge monaco brougham,6.59
8,4.9,96,1.948,14.9,77,mercury cougar brougham,6.38
6,4.1,81,1.597,16.4,77,chevrolet concours,7.44
6,3.8,77,1.554,16.9,77,buick skylark,8.72
6,3.7,74,1.647,17.7,77,plymouth volare custom,8.08
6,4.1,72,1.599,19,77,ford granada,7.87
8,6.6,132,1.914,11.1,77,pontiac grand prix lj,6.8
8,5.7,125,1.889,11.4,77,chevrolet monte carlo landau,6.59
8,6.6,140,1.962,12.2,77,chrysler cordoba,6.59
8,5.8,110,1.966,14.5,77,ford thunderbird,6.8
4,1.6,57,0.88,14.5,77,volkswagen rabbit custom,12.33
4,2.5,65,1.243,16,77,pontiac sunbird coupe,10.42
4,1.6,55,1.027,18.2,77,toyota corolla liftback,11.05
4,2.3,65,1.25,15.8,77,ford mustang ii 2+2,10.84
4,1.6,46,0.93,17,77,chevrolet chevette,12.97
4,1.6,61,0.941,15.9,77,dodge colt m/m,14.24
4,1.6,49,0.9,16.4,77,subaru dl,12.75
4,1.6,57,0.993,14.1,77,volkswagen dasher,12.97
6,2.4,71,1.277,14.5,77,datsun 810,9.35
4,2,81,1.179,12.8,77,bmw 320i,9.14
3,1.3,81,1.234,13.5,77,mazda rx-4,9.14
4,1.5,35,0.9,21.5,78,volkswagen rabbit custom diesel,18.32
4,1.6,49,0.816,14.4,78,ford fiesta,15.35
4,1.3,38,0.9,19.4,78,mazda glc deluxe,13.94
4,1.4,51,0.939,18.6,78,datsun b210 gx,16.75
4,1.5,44,0.816,16.4,78,honda civic cvcc,15.35
8,4.3,81,1.526,15.5,78,oldsmobile cutlass salon brougham,8.46
8,5.2,103,1.694,13.2,78,dodge diplomat,8.25
8,4.9,102,1.619,12.8,78,mercury monarch ghia,8.59
6,3.8,77,1.603,19.2,78,pontiac phoenix lj,8.16
6,3.3,70,1.431,18.2,78,chevrolet malibu,8.72
6,3.3,63,1.345,15.8,78,ford fairmont (auto),8.59
4,2.3,65,1.234,15.4,78,ford fairmont (man),10.67
6,3.7,74,1.556,17.2,78,plymouth volare,8.72
6,3.8,66,1.456,17.2,78,amc concord,8.25
6,3.8,77,1.533,15.8,78,buick century special,8.76
6,3.3,63,1.393,16.7,78,mercury zephyr,8.84
6,3.7,81,1.642,18.7,78,dodge aspen,7.91
6,4.2,88,1.547,15.1,78,amc concord d/l,7.7
8,5,107,1.554,13.2,78,chevrolet monte carlo landau,8.16
6,3.8,121,1.563,13.4,78,buick regal sport coupe (turbo),7.53
8,4.9,102,1.454,11.2,78,ford futura,7.7
8,5.2,103,1.851,13.7,78,dodge magnum xe,7.44
4,1.6,50,0.977,16.5,78,chevrolet chevette,12.75
4,2.2,70,1.161,14.2,78,toyota corona,11.69
4,2,71,1.043,14.7,78,datsun 510,11.56
4,1.7,55,1.012,14.5,78,dodge omni,13.14
4,2.2,70,1.141,14.8,78,toyota celica gt liftback,8.97
4,2.6,77,1.245,16.7,78,plymouth sapporo,9.86
4,2.5,63,1.295,17.6,78,oldsmobile starfire sx,10.12
4,2,71,1.091,14.9,78,datsun 200-sx,10.16
5,2.1,76,1.284,15.9,78,audi 5000,8.63
6,2.7,92,1.424,13.6,78,volvo 264gl,7.23
4,2,85,1.268,15.7,78,saab 99gle,9.18
6,2.7,98,1.547,15.8,78,peugeot 604sl,6.89
4,1.5,52,0.903,14.9,78,volkswagen scirocco,13.39
4,1.6,50,0.968,16.6,78,honda accord lx,12.54
6,3.8,85,1.472,15.4,79,pontiac lemans v6,9.14
6,3.3,63,1.356,18.2,79,mercury zephyr 6,8.42
4,2.3,65,1.311,17.3,79,ford fairmont 4,9.48
6,3.8,66,1.481,18.2,79,amc concord dl 6,8.59
6,3.7,81,1.524,16.6,79,dodge aspen 6,8.76
8,5,96,1.742,15.4,79,chevrolet caprice classic,7.23
8,4.9,95,1.69,13.4,79,ford ltd landau,7.48
8,5.8,101,1.794,13.2,79,mercury grand marquis,7.01
8,5.2,99,1.737,15.2,79,dodge st. regis,7.74
8,5.7,114,1.978,14.9,79,buick estate wagon (sw),7.18
8,5.8,104,1.839,14.3,79,ford country squire (sw),6.59
8,4.4,92,1.635,15,79,chevrolet malibu classic (sw),8.16
8,5.9,110,1.787,13,79,chrysler lebaron town @ country (sw),7.87
4,1.5,52,0.873,14,79,vw rabbit custom,13.56
4,1.4,48,0.896,15.2,79,maxda glc deluxe,14.5
4,1.6,59,0.869,14.4,79,dodge colt hatchback custom,15.18
4,2,59,1.211,15,79,amc spirit dl,11.65
5,3,57,1.601,20.1,79,mercedes benz 300d,10.8
8,5.7,92,1.769,17.4,79,cadillac eldorado,9.78
4,2.3,52,1.447,24.8,79,peugeot 504,11.56
8,4.3,66,1.551,22.2,79,oldsmobile cutlass salon brougham,10.16
4,1.7,51,0.998,13.2,79,plymouth horizon,14.54
4,1.7,51,0.975,14.9,79,plymouth horizon tc3,14.67
4,1.4,48,0.916,19.2,79,datsun 210,13.52
4,1.5,51,0.966,14.7,79,fiat strada custom,15.86
4,2.5,66,1.211,16,79,buick skylark limited,12.07
6,2.8,85,1.177,11.3,79,chevrolet citation,12.24
6,2.8,85,1.225,12.9,79,oldsmobile omega brougham,11.39
4,2.5,66,1.159,13.2,79,pontiac phoenix,14.24
4,1.6,56,0.973,14.7,80,vw rabbit,17.64
4,1.5,44,0.893,18.8,80,toyota corolla tercel,16.2
4,1.6,51,0.962,15.5,80,chevrolet chevette,13.65
4,1.4,48,0.916,16.4,80,datsun 310,15.82
4,2.5,66,1.215,16.5,80,chevrolet citation,11.9
4,2.3,65,1.302,18.1,80,ford fairmont,11.22
4,2.5,66,1.362,20.1,80,amc concord,10.33
6,3.7,66,1.534,18.7,80,dodge aspen,8.12
4,1.6,57,0.992,15.8,80,audi 4000,14.58
4,2.2,66,1.23,15.5,80,toyota corona liftback,12.67
4,2,55,1.153,17.5,80,mazda 626,13.31
4,2,68,1.104,15,80,datsun 510 hatchback,15.73
4,1.8,55,1.027,15.2,80,toyota corolla,13.69
4,1.4,48,0.957,17.9,80,mazda glc,19.81
4,2.6,77,1.27,14.4,80,dodge colt,11.86
4,1.4,48,0.957,19.2,80,datsun 210,17.35
4,1.5,35,0.946,21.7,80,vw rabbit c (diesel),18.83
4,1.5,35,1.059,23.7,80,vw dasher (diesel),18.45
5,2,49,1.338,19.9,80,audi 5000s (diesel),15.48
4,2.4,49,1.474,21.8,80,mercedes-benz 240d,12.75
4,1.5,49,0.839,13.8,80,honda civic 1500 gl,18.96
4,1.6,49,0.973,18,80,subaru dl,14.37
4,1.5,46,0.837,15.3,80,vokswagen rabbit,12.67
6,2.8,97,1.32,11.4,80,datsun 280-zx,13.9
3,1.1,74,1.098,12.5,80,mazda rx-7 gs,10.08
4,2,65,1.134,15.1,80,triumph tr7 coupe,14.88
4,1.8,53,1.039,17,80,honda accord,13.77
4,2.2,62,1.129,15.7,81,plymouth reliant,11.56
4,2.5,62,1.195,16.4,81,buick skylark,11.31
4,2.6,68,1.188,14.4,81,dodge aries wagon (sw),10.97
6,2.8,81,1.236,12.6,81,chevrolet citation,9.99
4,2.2,62,1.082,12.9,81,plymouth reliant,12.75
4,1.3,43,0.796,16.9,81,toyota starlet,16.62
4,1.4,47,0.85,16.4,81,plymouth champ,16.58
4,1.3,44,0.798,16.1,81,honda civic 1300,14.92
4,1.6,49,0.937,17.8,81,subaru,13.73
4,1.4,48,0.896,19.4,81,datsun 210 mpg,15.73
4,1.5,46,0.93,17.3,81,toyota tercel,16.03
4,1.5,50,0.9,16,81,mazda glc 4,14.5
4,1.7,46,1.005,14.9,81,plymouth horizon 4,14.75
4,1.6,48,0.928,16.2,81,ford escort 4w,14.62
4,1.6,48,1.08,20.7,81,ford escort 2h,12.71
4,1.7,54,0.993,14.2,81,volkswagen jetta,14.03
4,1.8,55,1.002,14.4,81,honda prelude,14.33
4,1.8,55,1.066,16.8,81,toyota corolla,13.77
4,2,74,1.186,14.8,81,datsun 200sx,13.99
4,2,54,1.195,18.3,81,mazda 626,13.43
4,2.3,59,1.465,20.4,81,peugeot 505s turbo diesel,11.95
6,2.4,56,1.433,19.6,81,volvo diesel,13.05
6,2.8,85,1.315,12.6,81,toyota cressida,10.8
6,2.4,88,1.329,13.8,81,datsun 810 maxima,10.29
6,3.8,81,1.549,15.8,81,buick century,9.52
8,5.7,77,1.69,19,81,oldsmobile cutlass ls,11.31
6,3.3,65,1.388,17.1,81,ford granada gl,8.59
6,3.7,63,1.572,16.6,81,chrysler lebaron salon,7.48
4,1.8,65,1.182,19.6,82,chevrolet cavalier,11.9
4,1.8,65,1.197,18.6,82,chevrolet cavalier wagon,11.48
4,1.8,65,1.086,18,82,chevrolet cavalier 2-door,14.45
4,1.8,63,1.168,16.2,82,pontiac j2000 se hatchback,13.18
4,2.2,62,1.145,16,82,dodge aries se,12.33
4,2.5,66,1.241,18,82,pontiac phoenix,11.48
4,2.3,68,1.3,16.4,82,ford fairmont futura,10.2
4,1.7,54,0.898,15.3,82,volkswagen rabbit l,15.31
4,1.5,50,0.919,18.2,82,mazda glc custom l,15.73
4,1.5,50,0.894,17.6,82,mazda glc custom,13.18
4,1.7,46,0.964,14.7,82,plymouth horizon miser,16.16
4,1.6,51,0.964,17.3,82,mercury lynx l,15.31
4,2,65,0.98,14.5,82,nissan stanza xe,15.31
4,1.8,55,1,14.5,82,honda accord,15.31
4,1.8,51,1.018,16.9,82,toyota corolla,14.45
4,1.5,49,0.891,15,82,honda civic,16.16
4,1.5,49,0.891,15.7,82,honda civic (auto),13.6
4,1.5,49,0.905,16.2,82,datsun 310 gx,16.16
6,3,81,1.336,16.4,82,buick century limited,10.63
6,4.3,63,1.368,17,82,oldsmobile cutlass ciera (diesel),16.16
4,2.6,68,1.173,14.5,82,chrysler lebaron medallion,11.05
6,3.8,82,1.286,14.7,82,ford granada l,9.35
4,2.4,71,1.209,13.9,82,toyota celica gt,13.6
4,2.2,62,1.075,13,82,dodge charger 2.2,15.31
4,2.5,66,1.338,17.3,82,chevrolet camaro,11.48
4,2.3,63,1.266,15.6,82,ford mustang gl,11.48
4,1.6,38,0.966,24.6,82,vw pickup,18.71
4,2.2,62,1.041,11.6,82,dodge rampage,13.6
4,2,58,1.191,18.6,82,ford ranger,11.9
4,2,60,1.234,19.4,82,chevy s-10,13.18
